#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -5.72519     0.00968341        4127.75      30
#indices  rapidity(ita)            phi             pt
   18336        4.84711        6.28303            211
   19076        4.84636      0.0013089             22
   18851         4.9388        6.27875        22.0002
   19471        4.91369        6.28197             22
   18541        3.18109        6.28152            211
   19556        3.15236        6.26845        22.0024
   19376        3.22709        6.28259             22
   19481         3.2206        6.26324        22.0044
   19241        3.04066     0.00414685        22.0002
   19181        2.84781        6.26673         22.003
   19546        2.71717     0.00305828        22.0001
   18676        2.66805     0.00583014        22.0004
   19016        2.68695        6.27503        211.007
   18356        2.54777      0.0145467        321.034
   19411        2.55112     0.00203921             22
   19071        2.38052     0.00556094        22.0003
   18686        2.52097      0.0146002        22.0023
   19091        2.51011     0.00169706            211
   19536        1.48175     0.00351967        130.001
   19396    -0.00212779      0.0145331        22.0023
   19496     -0.0020128      0.0129879        22.0019
   19236        2.10382      0.0688748        22.0523
   18651         1.6937      0.0246673        22.0067
   18656        1.65106      0.0333915        22.0123
   19286        1.49418      0.0101751        211.011
   18505       -1.54266       0.212416       0.507687
   18966       -1.56419      0.0708706        22.0554
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0      0.0912043       0.789934        2151.83      18
#indices  rapidity(ita)            phi             pt
   19741       -2.69054       0.825547        287.106
   19892       -2.93033       0.785872        11.1294
   20232       0.966647       0.933167        8.49716
   20152        1.13647       0.785579          7.025
   20102       0.980739       0.785482        48.8023
   20147        1.03364       0.785503        7.84178
   20227       0.661553       0.908657        11.7066
   20287       0.811484       0.785535         93.807
   19847       0.901841       0.785443        8.93023
   19852       0.865969       0.785399        930.388
   20301        1.33358       0.927691        27.4918
   19877        1.30338       0.785716        57.5886
   20097        1.34283       0.785729        5.77938
   19882        -1.4746       0.785399        567.833
   19791       -4.67992       0.725653        33.1513
   19897       -4.45025       0.873541        2.46281
   20261       -3.65497       0.611089        38.3436
   20297        -3.6893        0.78796        5.26072
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       0.644168        1.54526        8280.91     140
#indices  rapidity(ita)            phi             pt
   21585         6.8593        1.56875            211
   21681        6.88169        1.65752       0.216101
   20777     0.00623123        1.60085        1.22648
   20517      0.0229913        1.61362       0.496345
   21842     0.00950881        1.61551         2.0011
   21872      0.0215134        1.57444        4.53055
   21902      0.0205534          1.585         4.3314
   21267      0.0365252        1.60281       0.802868
   21607      0.0211139        1.58917        4.40984
   20797       0.156216        1.58197        32.6957
   21472       0.106061        1.57359        2.32373
   21912     0.00945149        1.57889        2.71753
   20442     0.00672239        1.57061        3261.74
   22102       0.014729        1.56569       0.320794
   20892      0.0967248        1.54682         20.345
   21277       0.105208        1.49535        2.30558
   21982       0.115435        1.50974        2.16438
   20616        1.11479         1.6805        9.31409
   21625       -7.22023        1.56497        211.004
   22018       -7.32695        1.78709      0.0455166
   21450        2.07118        1.54162        22.0094
   21550        2.03641        1.51938        22.0291
   20485        2.11571        1.56203        22.0008
   20925        2.13252         1.5226        22.0256
   20505        4.36236        1.26882        23.0427
   21321        4.25358        1.09849       0.315832
   22188        4.31956        1.14286       0.203122
   20501         4.4361        1.06464        1.55311
   20521        4.42133       0.944048       0.264352
   21260        1.92554        1.48663        22.0782
   21136        2.03727        1.44116        42.0246
   20411         2.0555        1.27663        2.79849
   22098        2.17714        1.25866      0.0504061
   21782       0.634095         1.5028        12.3332
   21262       0.556994        1.56948        29.5138
   21272       0.501037        1.56073        33.8237
   20877       0.476396        1.57869        9.75323
   20887        0.48489         1.5706        144.498
   22172       0.739896        1.59741        20.0785
   20352       0.755564         1.5706        1959.58
   20848       0.773952        1.45421       0.937147
   21197       0.576413        1.58761        28.2371
   21867       0.585828        1.58044        27.6216
   22092       0.270384           1.57        70.8723
   20787       0.274369         1.5772        56.4815
   21212       0.265638        1.60283        5.70801
   20827       0.880794        1.69948        15.5742
   20707       0.789581         1.5741        175.472
   20792        0.82423        1.58122        17.1862
   21192       0.665425        1.56877        23.2761
   22192       0.658812        1.54683        12.7038
   22177       0.605527        1.58538        26.4359
   21187       0.399063        1.56854        44.8591
